$,$,$
Giovanni&Schizzo,133,18
Giovanni&Schizzo,572,84
Giovanni&Schizzo,2170,1
Giovanni&Schizzo,4807,1
Giovanni&Schizzo,4976,70
Giovanni&Schizzo,7529,12
Giovanni&Schizzo,7329,5
Giovanni&Schizzo,6990,9
Giovanni&Schizzo,7068,1
Giovanni&Schizzo,6495,1
Giovanni&Schizzo,5307,1
Giovanni&Schizzo,4777,191
Giovanni&Schizzo,6677,12
Giovanni&Schizzo,7472,20
Giovanni&Schizzo,7535,1
Giovanni&Schizzo,2848,73
Giovanni&Schizzo,6898,3
Giovanni&Schizzo,5946,1
Giovanni&Schizzo,6549,1
Giovanni&Schizzo,5951,309
Giovanni&Schizzo,2012,1
Giovanni&Schizzo,4371,58
Giovanni&Schizzo,2061,134
Giovanni&Schizzo,7484,44
Giovanni&Schizzo,4923,40
$,$,$
Mario&Giuseppe,6248,3
Mario&Giuseppe,7332,20
Mario&Giuseppe,6462,43
Mario&Giuseppe,6531,34
Mario&Giuseppe,7414,7
Mario&Giuseppe,4998,93
Mario&Giuseppe,5750,36
Mario&Giuseppe,5982,57
Mario&Giuseppe,6217,21
Mario&Giuseppe,5885,1
Mario&Giuseppe,6986,1
Mario&Giuseppe,1933,1
Mario&Giuseppe,6372,65
Mario&Giuseppe,5119,72
Mario&Giuseppe,2766,109
Mario&Giuseppe,7436,75
Mario&Giuseppe,6274,55
Mario&Giuseppe,7223,1
Mario&Giuseppe,2765,1
Mario&Giuseppe,5029,16
Mario&Giuseppe,7554,14
Mario&Giuseppe,6434,300
Mario&Giuseppe,7342,1
Mario&Giuseppe,7313,3
Mario&Giuseppe,4728,1
$,$,$
Attilio&Carlo,4431,108
Attilio&Carlo,4236,8
Attilio&Carlo,4,1
Attilio&Carlo,5555,1
Attilio&Carlo,5022,40
Attilio&Carlo,6426,14
Attilio&Carlo,6989,10
Attilio&Carlo,7294,24
Attilio&Carlo,7219,24
Attilio&Carlo,6664,6
Attilio&Carlo,6238,1
Attilio&Carlo,6190,1
Attilio&Carlo,4892,30
Attilio&Carlo,152,93
Attilio&Carlo,184,31
Attilio&Carlo,6884,170
Attilio&Carlo,6684,77
Attilio&Carlo,6680,2
Attilio&Carlo,5589,53
Attilio&Carlo,7547,25
Attilio&Carlo,4510,23
Attilio&Carlo,5436,11
Attilio&Carlo,531,93
Attilio&Carlo,5995,110
Attilio&Carlo,309,133
$,$,$
Attilio&Samuele,4312,106
Attilio&Samuele,2815,1
Attilio&Samuele,6813,1
Attilio&Samuele,4502,2
Attilio&Samuele,7175,1
Attilio&Samuele,6042,18
Attilio&Samuele,6956,48
Attilio&Samuele,554,25
Attilio&Samuele,2120,53
Attilio&Samuele,7537,1
Attilio&Samuele,4887,1
Attilio&Samuele,827,3
Attilio&Samuele,4199,1
Attilio&Samuele,6218,11
Attilio&Samuele,6875,195
Attilio&Samuele,7314,39
Attilio&Samuele,632,75
Attilio&Samuele,5800,51
Attilio&Samuele,2077,1
Attilio&Samuele,2097,305
Attilio&Samuele,6060,54
Attilio&Samuele,4896,8
Attilio&Samuele,6967,46
